Especialidad,Postulantes,Cupos,Resto
Alergia e inmunología,3,3,0
Anatomía patológica,50,36,14
Anestesiología,342,96,246
Cardiología,288,69,219
Cirugía cardiovascular,27,7,20
Cirugía cardiovascular pediátrica,8,3,5
Cirugía de tórax,1,2,-1
Cirugía general,446,149,297
Cirugía infantil (cirugía pediátrica),50,8,42
Cirugía plástica y reparadora,25,1,24
Clínica médica,283,309,-26
Dermatología,228,26,202
Diagnóstico por imágenes,269,57,212
Emergentología,31,55,-24
Endocrinología,72,12,60
Farmacología clínica,1,1,0
Fisiatría (medicina física y rehabilitación),19,13,6
Gastroenterología,126,28,98
Genética médica,8,6,2
Geriatría,6,3,3
Ginecología,316,283,33
Hematología,25,20,5
Hemoterapia,1,4,-3
Infectología,30,31,-1
Inmunología . básica,1,1,0
Medicina Aeronáutica y Espacial,1,0,1
Medicina general y/o medicina de familia,87,191,-104
Nefrología,34,24,10
Neumonología,22,28,-6
Neurocirugía,125,26,99
Neurocirugía Pediátrica,3,1,2
Neurología,100,25,75
Oftalmología,231,28,203
Oncología,27,20,7
Ortopedia y traumatología,261,141,120
Ortopedia y traumatología infantil,5,7,-2
Otorrinolaringología,180,26,154
Pediatría y pediátricas articuladas,394,409,-15
Psiquiatría,149,94,55
Radioterapia o terapia radiante,7,2,5
Reumatología,15,11,4
Salud Mental,11,8,3
Terapia intensiva,96,139,-43
Toxicología,1,3,-2
Urología,130,28,102
Total,4535,2434,2101
